STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/1/18,17.67,0,0,0,12,18,7
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/2/18,15.66,0,0,0,18,26,13
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/3/18,8.28,0,0,0,21,28,12
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/4/18,28.19,0.49,8,1.2,25,29,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/5/18,25.05,0,0,7.9,15,19,9
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/6/18,22.15,0,0,7.9,11,14,7
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/7/18,13.87,0,0,7.9,9,18,4
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/8/18,13.42,0.02,0,7.9,22,32,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/9/18,13.42,0,0,7.1,34,43,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/10/18,4.92,0,0,5.1,32,39,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/11/18,2.91,0,0,3.1,41,48,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/12/18,16.11,0.45,0,1.2,47,54,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/13/18,20.58,0.08,0,0,41,53,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/14/18,15.66,0,0,0,20,25,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/15/18,11.86,0,0,0,22,30,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/16/18,6.26,0,0,0,29,39,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/17/18,11.41,0.22,0.2,0,35,37,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/18/18,14.99,0,0,0,26,34,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/19/18,10.29,0,0,0,30,38,22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/20/18,13.42,0,0,0,40,54,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/21/18,6.71,0,0,0,41,51,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/22/18,5.37,0,0,0,44,52,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/23/18,14.09,0.22,0,0,46,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/24/18,17.22,0,0,0,42,44,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/25/18,15.43,0,0,0,29,35,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/26/18,8.5,0,0,0,30,36,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/27/18,11.86,0,0,0,38,49,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/28/18,5.14,0.26,0,0,46,50,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/29/18,15.21,0,0.1,0,42,44,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/30/18,15.21,0.1,1.4,1.2,33,36,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/31/18,13.87,0,0,0,25,32,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/1/18,8.28,0.05,0,0,35,41,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/2/18,20.13,0.21,0,0,33,40,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/3/18,15.66,0,0,0,22,30,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/4/18,10.29,0.96,0,0,35,47,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/5/18,15.43,0,0,0,38,43,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/6/18,5.82,0,0,0,30,36,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/7/18,12.53,0.84,0.3,0,33,46,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/8/18,13.42,0,0,0,33,34,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/9/18,10.07,0,0,0,29,38,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/10/18,4.47,0.27,0,0,41,49,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/11/18,8.95,1.13,0,0,47,51,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/12/18,14.76,0,0,0,46,58,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/13/18,9.84,0,0,0,32,36,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/14/18,8.95,0.06,0,0,37,47,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/15/18,5.82,0.15,0,0,45,52,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/16/18,13.42,0.11,0,0,51,59,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/17/18,9.62,0.48,2.2,0,35,38,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/18/18,10.74,0.02,0.1,2,37,45,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/19/18,8.5,0.01,0,0,39,47,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/20/18,6.93,0,0,0,49,64,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/21/18,8.95,0.03,0,0,51,65,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/22/18,13.87,0.11,0,0,49,58,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/23/18,8.95,0.12,0,0,38,40,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/24/18,9.4,0.08,0,0,45,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/25/18,11.63,1.3,0,0,44,45,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/26/18,8.72,0,0,0,45,52,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/27/18,11.63,0,0,0,45,54,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,2/28/18,8.5,0,0,0,43,53,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/1/18,8.72,0.57,0,0,49,58,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/2/18,29.97,2.16,0,0,41,45,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/3/18,28.41,0,0,0,40,48,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/4/18,21.7,0,0,0,41,45,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/5/18,19.46,0,0.1,0,37,42,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/6/18,10.29,0,0,0,37,43,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/7/18,18.57,1.02,2.8,0,36,37,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/8/18,15.21,0,0,1.2,36,41,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/9/18,18.79,0,0,0,36,44,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/10/18,16.33,0,0,0,36,42,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/11/18,11.63,0,0,0,38,46,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/12/18,13.42,0.03,0,0,38,45,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/13/18,20.13,0.21,1.2,1.2,36,42,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/14/18,22.59,0,0,0,35,42,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/15/18,19.69,0,0,0,38,48,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/16/18,20.58,0,0,0,37,41,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/17/18,16.55,0,0,0,36,50,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/18/18,13.2,0,0,0,36,44,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/19/18,6.93,0,0,0,38,47,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/20/18,11.86,0.03,0,0,34,37,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/21/18,19.01,0.88,8.4,0,35,38,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/22/18,17.67,0.03,0.3,9.1,37,48,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/23/18,12.08,0,0,5.1,41,49,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/24/18,12.97,0,0,2,42,51,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/25/18,13.2,0,0,0,40,45,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/26/18,8.95,0,0,0,38,47,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/27/18,6.26,0,0,0,36,42,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/28/18,7.38,0.03,0,0,41,49,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/29/18,5.59,0.03,0,0,46,49,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/30/18,13.87,0.09,0,0,49,62,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,3/31/18,15.88,0,0,0,45,52,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/1/18,12.75,0,0,0,48,63,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/2/18,9.4,0.33,3.7,2,39,42,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/3/18,8.05,0.14,0,0,39,42,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/4/18,17.45,0.17,0,0,46,57,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/5/18,18.34,0,0,0,41,46,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/6/18,12.08,0.08,0,0,41,53,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/7/18,12.97,0,0,0,44,48,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/8/18,17.67,0,0,0,38,46,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/9/18,12.53,0,0,0,37,45,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/10/18,10.51,0.01,0,0,42,51,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/11/18,10.29,0,0,0,42,49,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/12/18,13.87,0,0,0,46,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/13/18,12.75,0,0,0,56,70,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/14/18,12.3,0,0,0,55,67,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/15/18,20.36,0.25,0,0,43,45,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/16/18,24.16,1.53,0,0,47,57,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/17/18,17.9,0,0,0,45,48,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/18/18,14.99,0,0,0,44,53,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/19/18,14.09,0.15,0,0,45,48,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/20/18,18.79,0,0,0,43,52,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/21/18,11.63,0,0,0,47,61,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/22/18,10.51,0,0,0,51,61,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/23/18,8.28,0,0,0,50,61,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/24/18,12.3,0,0,0,51,62,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/25/18,11.63,0.34,0,0,54,57,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/26/18,12.53,0.04,0,0,58,68,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/27/18,8.5,0.12,0,0,54,56,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/28/18,9.62,0.01,0,0,52,60,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/29/18,14.76,0.13,0,0,54,59,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/30/18,16.11,0,0,0,49,53,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/1/18,10.51,0,0,0,58,76,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/2/18,11.41,0,0,0,67,83,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/3/18,11.41,0,0,0,70,84,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/4/18,12.53,0,0,0,68,78,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/5/18,14.32,0,0,0,66,76,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/6/18,7.38,0,0,0,60,66,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/7/18,8.5,0,0,0,61,73,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/8/18,6.71,0,0,0,58,67,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/9/18,6.49,0,0,0,56,63,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/10/18,8.28,0.01,0,0,56,62,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/11/18,11.41,0,0,0,65,74,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/12/18,8.05,0.25,0,0,60,65,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/13/18,8.05,0.16,0,0,53,54,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/14/18,7.16,0.12,0,0,55,64,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/15/18,10.96,0.44,0,0,63,76,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/16/18,10.07,0.33,0,0,62,65,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/17/18,5.37,0.72,0,0,59,67,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/18/18,12.08,0,0,0,61,64,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/19/18,8.95,0.75,0,0,54,57,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/20/18,12.97,0,0,0,67,83,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/21/18,9.62,0,0,0,67,73,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/22/18,5.59,0.17,0,0,60,65,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/23/18,8.72,0.2,0,0,66,82,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/24/18,11.41,0,0,0,74,82,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/25/18,12.75,0,0,0,69,82,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/26/18,8.5,0,0,0,73,81,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/27/18,13.42,0.89,0,0,65,71,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/28/18,7.61,0,0,0,57,63,54
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/29/18,8.05,0,0,0,67,79,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/30/18,8.05,0,0,0,64,69,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,5/31/18,6.71,0.03,0,0,63,67,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/1/18,4.7,1.18,0,0,67,75,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/2/18,10.07,0,0,0,75,86,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/3/18,15.88,0.11,0,0,63,64,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/4/18,8.5,0.61,0,0,57,71,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/5/18,9.84,0,0,0,64,76,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/6/18,8.72,0,0,0,63,71,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/7/18,8.95,0,0,0,60,66,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/8/18,9.4,0,0,0,65,74,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/9/18,6.49,0,0,0,71,79,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/10/18,6.04,0.02,0,0,68,72,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/11/18,8.05,0.02,0,0,62,69,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/12/18,10.51,0,0,0,61,69,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/13/18,11.18,0.04,0,0,65,73,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/14/18,17.22,0,0,0,76,85,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/15/18,12.3,0,0,0,71,77,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/16/18,10.07,0,0,0,71,82,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/17/18,8.5,0,0,0,74,87,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/18/18,13.87,0.43,0,0,73,80,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/19/18,10.07,0.02,0,0,80,89,72
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/20/18,8.5,0.01,0,0,73,78,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/21/18,7.83,0.28,0,0,72,82,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/22/18,11.18,0.04,0,0,68,71,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/23/18,8.05,0,0,0,65,67,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/24/18,9.62,0.17,0,0,69,77,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/25/18,11.41,0,0,0,75,82,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/26/18,11.63,0,0,0,68,73,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/27/18,12.53,0.02,0,0,69,73,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/28/18,11.18,0.93,0,0,72,80,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/29/18,8.95,0,0,0,78,91,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,6/30/18,6.93,0,0,0,82,88,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,7/1/18,6.71,0,0,0,82,94,73
